dataset,model,instance_idx,method,spearman_mean,spearman_std,mse_mean,mse_std,n_budget,k_runs
california,ridge,0,abc_corrected,1.0,0.0,2.0536817715809238e-16,1.0599124540560969e-16,5000,30
california,ridge,0,dirichlet_strong,1.0,0.0,2.2669352247314767e-16,1.6846009134309102e-16,5000,30
california,ridge,0,b1_uniform,1.0,0.0,3.785467888327915e-16,1.6000926334260203e-16,5000,30
california,ridge,0,b2_stratified,1.0,0.0,3.34713881552006e-17,1.8156625035876487e-17,5000,30
california,ridge,1,abc_corrected,1.0,0.0,2.316890941482197e-16,1.1393375009207478e-16,5000,30
california,ridge,1,dirichlet_strong,1.0,0.0,2.2202132412226698e-16,8.115611653122854e-17,5000,30
california,ridge,1,b1_uniform,1.0,0.0,3.3391511449319533e-16,1.4453089086649223e-16,5000,30
california,ridge,1,b2_stratified,1.0,0.0,2.925925453912022e-17,1.8879966205704682e-17,5000,30
california,ridge,2,abc_corrected,1.0,0.0,1.2942546609850194e-16,6.19104583912294e-17,5000,30
california,ridge,2,dirichlet_strong,1.0,0.0,1.8294376317756972e-16,1.361660931197111e-16,5000,30
california,ridge,2,b1_uniform,1.0,0.0,2.455583776750063e-16,1.0846088638777597e-16,5000,30
california,ridge,2,b2_stratified,1.0,0.0,2.655317186934171e-17,1.5203083874397425e-17,5000,30
california,ridge,3,abc_corrected,1.0,0.0,8.297351533515619e-17,3.965826803314633e-17,5000,30
california,ridge,3,dirichlet_strong,1.0,0.0,6.927690417948111e-17,2.47347419351234e-17,5000,30
california,ridge,3,b1_uniform,1.0,0.0,9.062005484556772e-17,3.914929923105954e-17,5000,30
california,ridge,3,b2_stratified,1.0,0.0,1.4023066772339414e-17,8.606068372218018e-18,5000,30
california,ridge,4,abc_corrected,1.0,0.0,1.3671777633930095e-15,6.864976400284353e-16,5000,30
california,ridge,4,dirichlet_strong,1.0,0.0,1.8177586966583635e-15,8.927532124131194e-16,5000,30
california,ridge,4,b1_uniform,1.0,0.0,3.871042613651055e-15,1.3565839009503882e-15,5000,30
california,ridge,4,b2_stratified,1.0,0.0,5.184146392350726e-16,2.2160702527153173e-16,5000,30
california,ridge,5,abc_corrected,1.0,0.0,4.194918922176066e-16,1.7220258093025362e-16,5000,30
california,ridge,5,dirichlet_strong,1.0,0.0,6.014982310971653e-16,4.265028567052634e-16,5000,30
california,ridge,5,b1_uniform,1.0,0.0,1.2949299063004683e-15,5.208875022672437e-16,5000,30
california,ridge,5,b2_stratified,1.0,0.0,1.4794776642088985e-16,6.652028529828746e-17,5000,30
california,ridge,6,abc_corrected,1.0,0.0,1.4210906682358496e-16,8.095403235766955e-17,5000,30
california,ridge,6,dirichlet_strong,1.0,0.0,1.8271990867893843e-16,1.2768357487916757e-16,5000,30
california,ridge,6,b1_uniform,1.0,0.0,3.481917420977831e-16,1.3697939150827964e-16,5000,30
california,ridge,6,b2_stratified,1.0,0.0,3.460938190411372e-17,2.7122834055866298e-17,5000,30
california,ridge,7,abc_corrected,1.0,0.0,3.9574369268552105e-17,2.682476548484911e-17,5000,30
california,ridge,7,dirichlet_strong,1.0,0.0,4.5625535261514395e-17,4.3640267496890366e-17,5000,30
california,ridge,7,b1_uniform,1.0,0.0,8.700869163926467e-17,4.1824934861174883e-17,5000,30
california,ridge,7,b2_stratified,1.0,0.0,1.0644549941759013e-17,6.615905481211399e-18,5000,30
california,ridge,8,abc_corrected,1.0,0.0,6.828912864414774e-15,3.917274182654418e-15,5000,30
california,ridge,8,dirichlet_strong,1.0,0.0,6.38524421148947e-15,3.1367662753102532e-15,5000,30
california,ridge,8,b1_uniform,1.0,0.0,1.679335654715653e-14,8.698517709217132e-15,5000,30
california,ridge,8,b2_stratified,1.0,0.0,1.6762152159136776e-15,7.870803155594684e-16,5000,30
california,ridge,9,abc_corrected,1.0,0.0,5.323842549132552e-16,4.0225182009413787e-16,5000,30
california,ridge,9,dirichlet_strong,1.0,0.0,4.964188959540377e-16,3.177791793377118e-16,5000,30
california,ridge,9,b1_uniform,1.0,0.0,1.0983153243673114e-15,4.864432766516769e-16,5000,30
california,ridge,9,b2_stratified,1.0,0.0,1.1792553593800982e-16,6.128734956090428e-17,5000,30
california,rf,0,abc_corrected,0.96984126984127,0.035811156103741186,0.004192003625927982,0.004357635718400919,5000,30
california,rf,0,dirichlet_strong,0.9761904761904762,0.03636964837266538,0.00576893253099552,0.00527007844764039,5000,30
california,rf,0,b1_uniform,0.9761904761904762,0.015058465048420835,0.0018683501015523364,0.0006021013296450228,5000,30
california,rf,0,b2_stratified,0.9952380952380951,0.00952380952380949,0.00016200387055262074,0.00011357298758708948,5000,30
california,rf,1,abc_corrected,0.9753968253968253,0.027135430154410712,0.001941918764192504,0.001533049321193544,5000,30
california,rf,1,dirichlet_strong,0.9714285714285715,0.033333333333333326,0.0018661578388007543,0.0019367800850561962,5000,30
california,rf,1,b1_uniform,0.9246031746031745,0.034821287251556046,0.0012611650095879386,0.00019775583050492775,5000,30
california,rf,1,b2_stratified,1.0,0.0,4.364211849091922e-05,4.2643291525963646e-05,5000,30
california,rf,2,abc_corrected,0.8753968253968253,0.09049359342514367,0.041596072984603015,0.035161820255387236,5000,30
california,rf,2,dirichlet_strong,0.8904761904761905,0.08531653746270912,0.03478848873750381,0.04510088232524745,5000,30
california,rf,2,b1_uniform,0.8785714285714284,0.04139936938331737,0.007975806306425927,0.00268471094812744,5000,30
california,rf,2,b2_stratified,0.9960317460317459,0.010794817864075726,0.0012361257749310289,0.001393290670710406,5000,30
california,rf,3,abc_corrected,0.7857142857142858,0.18595832561682507,0.005687185173482463,0.004774258145387757,5000,30
california,rf,3,dirichlet_strong,0.880952380952381,0.11517511068997927,0.005668039324641504,0.008326526514156728,5000,30
california,rf,3,b1_uniform,0.8253968253968256,0.0654461210415501,0.002866719336577562,0.0008053155425565141,5000,30
california,rf,3,b2_stratified,0.9960317460317459,0.008873285624999134,0.00014027264386733484,6.37939443720347e-05,5000,30
california,rf,4,abc_corrected,0.8023809523809524,0.10362842803012091,0.02269171104009044,0.021018215327094924,5000,30
california,rf,4,dirichlet_strong,0.7920634920634922,0.13383315236972276,0.02143580003463907,0.021533676989777532,5000,30
california,rf,4,b1_uniform,0.9039682539682539,0.04701334355434882,0.0022423959787478505,0.000936635594600624,5000,30
california,rf,4,b2_stratified,0.9873015873015873,0.014720029357929655,0.0005135217834550899,0.000594616658745885,5000,30
california,rf,5,abc_corrected,0.8349206349206348,0.1393665256460371,0.004001944121243894,0.0037346384572644322,5000,30
