dataset,M,policy_idx,source,J_pi,true_stability_spearman,true_stability_kendall,true_stability_top3
california,8,0,random,0.8745208506057265,0.7725232621784346,0.6403940886699506,0.671264367816092
california,8,1,random,0.5259108579663616,0.8146141215106734,0.6858784893267651,0.6628352490421456
california,8,2,random,0.6251719975148017,0.8671592775041053,0.744334975369458,0.7049808429118773
california,8,3,random,0.6686507814063875,0.7732895457033389,0.6399014778325124,0.6444444444444445
california,8,4,random,0.652118729150804,0.7724137931034484,0.6454844006568144,0.6490421455938699
california,8,5,random,0.608799395031805,0.8244663382594419,0.70311986863711,0.7065134099616858
california,8,6,random,0.7363291993920821,0.7406677613574167,0.6197044334975369,0.6781609195402298
california,8,7,random,0.7345950456209303,0.7747673782156542,0.6646962233169129,0.7042145593869733
california,8,8,random,0.5522684369234713,0.8093048713738371,0.6752052545155992,0.6467432950191572
california,8,9,random,0.7013792826165112,0.7914066776135743,0.6673234811165845,0.6574712643678161
california,8,10,abc_visited,0.6799614645485359,0.7471264367816095,0.6472906403940887,0.6819923371647508
california,8,11,abc_visited,0.5657247977581562,0.7963327859879584,0.6756978653530377,0.6505747126436782
california,8,12,abc_visited,0.725051642726433,0.8411056376573619,0.7197044334975369,0.7187739463601533
california,8,13,abc_visited,0.5318631628957575,0.7876847290640396,0.6592775041050903,0.6636015325670497
california,8,14,abc_visited,0.5327584932141167,0.905418719211823,0.8096880131362889,0.8245210727969349
california,8,15,abc_visited,0.8095051851776155,0.8481663929939793,0.7307060755336617,0.7226053639846742
california,8,16,abc_visited,0.6896224708026615,0.8652435686918446,0.7576354679802956,0.7701149425287356
california,8,17,abc_visited,0.6978461170358807,0.7960043787629996,0.6555008210180622,0.660536398467433
california,8,18,abc_visited,0.7235448294576443,0.8218390804597703,0.7177339901477833,0.735632183908046
california,8,19,abc_visited,0.7521756286583482,0.8203065134099617,0.6965517241379309,0.6605363984674331
california,8,20,abc_visited,0.711945202511616,0.7622331691297209,0.6494252873563217,0.667432950191571
california,8,21,abc_visited,0.7342463748446217,0.9033388067870827,0.8177339901477831,0.8965517241379309
california,8,22,abc_visited,0.5650329033635845,0.8887246852764096,0.7758620689655171,0.7685823754789273
california,8,23,abc_visited,0.7674262692334396,0.7301587301587302,0.6060755336617405,0.6513409961685824
california,8,24,abc_visited,0.7267027496426449,0.8350301039956214,0.7116584564860425,0.7249042145593869
california,8,25,abc_visited,0.6505304200854711,0.9139573070607555,0.8111658456486042,0.8337164750957854
california,8,26,abc_visited,0.7009178386735798,0.8623426382047074,0.7428571428571428,0.7295019157088124
