dataset,model,n_budget,instance_idx,M,method,mse,mse_std,mse_norm,mse_norm_std,mse_ci_lower,mse_ci_upper,mse_ratio_b2,spearman_mean,spearman_std,spearman_ci_lower,spearman_ci_upper,kendall_mean,kendall_std,top3_mean,top3_std,top5_mean,top5_std,variance,n_exploration,n_estimation,time_mean,time_std,n_coal_final,mse_per_run,spearman_per_run,kendall_per_run,top3_per_run,top5_per_run
california,ridge,5000,0,8,abc_shap,2.172310593010197e-16,1.0477089961417321e-16,2.7153882412627463e-17,1.3096362451771651e-17,1.7867433465882164e-16,2.5144726984134274e-16,7.544932243867454,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.0444482570169799e-17,2496.0,2504.0,0.6483542433318993,0.06331739216647572,2496.0,"[9.444630621141001e-17, 2.335452760532364e-16, 2.5141491698086787e-16, 1.487142966195922e-16, 1.6923499843688679e-16, 3.349037297464007e-16, 3.7042369516816827e-16, 9.160517649274274e-17, 3.644325978037055e-16, 1.453987462021639e-16, 4.246237608468397e-16, 2.869576256109092e-16, 1.0134811827799515e-16, 8.145971701249524e-17, 1.4524654046489471e-16, 1.1907399839342136e-16, 7.605020090380082e-17, 1.5776792115091377e-16, 2.725093027860087e-16, 1.871753416262114e-16, 3.4369465524894534e-16, 2.1420608730446125e-16, 2.9754887669105576e-16, 6.257357377011655e-17, 2.835014562363079e-16, 2.7867500544400103e-16, 4.295809786495076e-16, 1.7003379755649172e-16, 1.7314763137002092e-16, 2.076374499710186e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,0,8,b1_uniform,4.1468853782817344e-16,1.6561179423293048e-16,5.183606722852168e-17,2.070147427911631e-17,3.5797000713610253e-16,4.755286760782579e-16,14.403082737291369,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.7587528016716824e-17,0.0,5000.0,0.4884918866640267,0.038139133119865026,5000.0,"[5.138590994462674e-16, 3.253702432416635e-16, 4.267593052432244e-16, 1.7960506115527062e-16, 2.3100754019017285e-16, 5.014948914793236e-16, 1.1795640329206307e-16, 4.600525844047564e-16, 4.167305190837552e-16, 5.105850402316827e-16, 1.9149525306523052e-16, 4.0268282269393243e-16, 4.114686495829714e-16, 6.920687602463836e-16, 3.6150242041644353e-16, 4.1280533091654987e-16, 3.839197208195263e-16, 8.599862282402031e-16, 5.862082570051006e-16, 3.4247938950627253e-16, 2.841278352328949e-16, 5.640464503193763e-16, 5.631161733081457e-16, 4.96752120284986e-16, 4.0935583679138126e-16, 2.3237135912038545e-16, 6.566115956559865e-16, 1.8340229035936074e-16, 4.76131739248459e-16, 2.467032142634324e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,0,8,b2_stratified,2.879165143962503e-17,1.3075530567090303e-17,3.5989564299531286e-18,1.634441320886288e-18,2.3978700710306817e-17,3.3396062381019744e-17,1.0,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,3.433318364954773e-18,0.0,5000.0,0.5036384833346044,0.0717805985188975,5000.0,"[2.9734583370074196e-17, 1.7791948184680174e-17, 5.28466291151744e-17, 2.8790061911235386e-17, 3.0130971607285334e-17, 1.0251848248025901e-17, 2.567226887238825e-17, 1.5409268062203137e-17, 3.090267995602386e-17, 3.192437457029674e-17, 4.9161069944320156e-17, 1.770837612742689e-17, 2.1955306034891995e-17, 3.315742586490688e-17, 1.8738926666922497e-17, 9.599047175784305e-18, 2.5603679236403434e-17, 6.412452568113001e-17, 5.762438865009357e-18, 4.6630017203903077e-17, 1.3415504756559135e-17, 3.2167714133692206e-17, 2.975938802846089e-17, 3.735946658551471e-17, 3.0270933475354496e-17, 3.1033382039811856e-17, 3.915182440974874e-17, 1.6760048860291953e-17, 3.966017562261421e-17, 2.827565857861671e-17]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,0,8,b3_is,1.5564508655100797e-16,4.3577636210905863e-17,1.9455635818875996e-17,5.447204526363233e-18,1.4088900129744593e-16,1.711126810191122e-16,5.405910351387438,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,2.483862862981441e-18,0.0,5000.0,0.6123171333320594,0.049220977631934865,5000.0,"[1.8267012522037078e-16, 1.5410426165123556e-16, 1.4651105988027714e-16, 1.341188484606596e-16, 1.6009280688484404e-16, 1.5920862411817566e-16, 1.863541500549158e-16, 1.9121389994480438e-16, 1.950817712707306e-16, 1.12781767993811e-16, 1.3076438414191554e-16, 1.4380408669946634e-16, 7.896121395137823e-17, 1.8382155362107973e-16, 1.586996350609051e-16, 1.6349947449373374e-16, 1.920590766889198e-16, 2.9248016794974843e-16, 1.0593072343851993e-16, 1.3991288010593669e-16, 1.3290919085559538e-16, 1.5847409238745493e-16, 6.815583956822723e-17, 1.2492846588535023e-16, 1.515520366996619e-16, 1.5214338550104601e-16, 1.57431893332347e-16, 1.4190533276418025e-16, 1.1882386452000106e-16, 2.5095798338494767e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,0,8,b4_antithetic,3.515598688893229e-16,1.655180646814382e-16,4.3944983611165363e-17,2.0689758085179775e-17,2.976018201964767e-16,4.1312159031145797e-16,12.21047947272251,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.5225726588600938e-17,0.0,5000.0,0.46885526332868416,0.0629077651634856,5000.0,"[3.666623703131822e-16, 2.3227846314978047e-16, 3.4317889511608053e-16, 1.522440365159858e-16, 4.4732263885026e-16, 4.757002074726944e-16, 2.0505426136445038e-16, 9.422987914262345e-16, 1.4382525792594328e-16, 6.756977849795541e-16, 3.191267008992509e-16, 5.606864776430907e-16, 4.781648360816204e-16, 3.372148923747408e-16, 4.74397391846361e-16, 2.939074673603407e-16, 3.4913755137473e-16, 4.652734740313139e-16, 2.7356896769079337e-16, 2.1805853109094992e-16, 2.8175754036307838e-16, 1.9165882745746823e-16, 1.2128304651155474e-16, 3.2063298261279054e-16, 2.307553613283617e-16, 3.759524306375827e-16, 3.153236223926423e-16, 3.18200245329898e-16, 3.6301768605021097e-16, 2.7441532648874164e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,1,8,abc_shap,2.4259935408004013e-16,1.4563100778550291e-16,3.0324919260005016e-17,1.8203875973187864e-17,1.9497997196807323e-16,2.9792101980383325e-16,7.470772802026774,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,8.650080869997966e-18,2496.0,2504.0,0.6338009366649203,0.029109899361650295,2496.0,"[1.9514938721223218e-16, 1.979880470845869e-16, 3.0184500064382555e-16, 1.54365630865846e-16, 1.7302208299690508e-16, 1.1244838651636756e-16, 2.3674500284666336e-16, 2.312906801962523e-16, 2.676617087240755e-16, 2.5137758011915053e-16, 1.2056126879981573e-16, 8.776936445841632e-16, 3.963361024505253e-16, 1.6631533497873947e-16, 2.992478626641967e-16, 1.2390278989966125e-16, 7.87371139577369e-17, 2.417436960194938e-16, 2.9178081843291626e-16, 4.1716665247078276e-16, 1.4495077105271228e-16, 3.385874379921876e-16, 1.4482167780052228e-16, 1.9763194628047963e-16, 2.4610541542868157e-16, 1.5649492880665592e-16, 3.3148733396428803e-16, 1.920089950544147e-16, 9.36890175954839e-17, 2.968243069618425e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,1,8,b1_uniform,2.883130868875373e-16,1.3849196836170849e-16,3.603913586094216e-17,1.731149604521356e-17,2.379964185677041e-16,3.368240445451016e-16,8.878513201964909,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.2871753611951388e-17,0.0,5000.0,0.4801413166705364,0.023850290710978873,5000.0,"[1.676112944055558e-16, 2.871517464814375e-16, 4.334644477295843e-16, 1.651788806784902e-16, 2.1670278135933136e-16, 5.660998631767145e-16, 6.186347061116172e-17, 3.474309543849868e-16, 3.4935026461018453e-16, 2.011566363046552e-16, 1.7819254567942172e-16, 6.145223097591665e-16, 1.1920173889235856e-16, 3.453070187145178e-16, 3.464934025484263e-16, 8.934620111630752e-17, 3.3237983254574596e-16, 3.2517058807319103e-16, 2.24978093891387e-16, 2.906662850050698e-16, 2.440948700854661e-16, 4.817607831261794e-16, 3.4467514080168887e-16, 1.809878950916372e-16, 4.799049784838771e-16, 3.09904992869186e-16, 2.578111960513231e-16, 1.122926065191084e-16, 4.496692988973832e-16, 1.2602248873257884e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,1,8,b2_stratified,3.247312701227167e-17,1.7980613441814603e-17,4.059140876533959e-18,2.2475766802268253e-18,2.6339790279494643e-17,3.894499258593967e-17,1.0,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,3.491298234081747e-18,0.0,5000.0,0.49958808667142873,0.04201797838820829,5000.0,"[5.878874754041798e-17, 2.838462707611047e-17, 1.5274857472101087e-17, 4.243248598665485e-17, 1.0937093588213614e-17, 3.2927436831669755e-17, 3.6633195897599576e-17, 7.168480444836834e-17, 5.805639372161374e-17, 9.802304399632815e-18, 1.248201915549941e-17, 1.5733891202720584e-17, 9.125356434433875e-18, 3.582248324743749e-17, 2.776702063398582e-17, 2.627754266198703e-17, 1.0571229278378956e-17, 3.8929920126568554e-17, 1.2445599125614559e-17, 5.691653490927862e-17, 1.85202379275082e-17, 1.619520790169423e-17, 5.4348682455591274e-17, 2.5626526964609363e-17, 3.553612200705749e-17, 3.217334985978975e-17, 3.202730086570564e-17, 6.772165271387129e-17, 2.994320521562088e-17, 5.110798071841478e-17]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,1,8,b3_is,2.426500722863474e-16,4.540357521196008e-17,3.033125903579343e-17,5.67544690149501e-18,2.25563918571582e-16,2.5896527921795116e-16,7.472334653655295,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,2.2817014831368586e-18,0.0,5000.0,0.6151938733363447,0.04114166778105069,5000.0,"[1.8813569993576964e-16, 2.4952062138012083e-16, 2.8864184731932305e-16, 1.5951629642095615e-16, 2.1440335057493086e-16, 2.4855261625775686e-16, 1.9583020158067992e-16, 2.641314901610105e-16, 1.8197261719840358e-16, 2.6882258708915663e-16, 2.443859981091345e-16, 3.2767662053880067e-16, 1.799481414372743e-16, 2.0836547082166137e-16, 2.1956961323215545e-16, 2.442254170366374e-16, 2.715959352823049e-16, 2.3150228243778407e-16, 2.1105158491758022e-16, 2.8449212676094154e-16, 2.4879370214248313e-16, 1.9291717790584552e-16, 3.282764979111849e-16, 2.4288141241079645e-16, 2.1802843496052528e-16, 2.113272647807594e-16, 2.4430892464764173e-16, 2.6353003240846434e-16, 3.093792526682901e-16, 3.3771895026204863e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,1,8,b4_antithetic,5.276590525340247e-16,1.289083452601033e-16,6.595738156675309e-17,1.6113543157512913e-17,4.775941899072448e-16,5.727288554036954e-16,16.24909890367568,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.2533992623350817e-17,0.0,5000.0,0.46610471000312825,0.025562203659237753,5000.0,"[4.746981516512602e-16, 3.2874070136980817e-16, 6.4927231661474855e-16, 6.551314976150196e-16, 5.03030062913038e-16, 4.940320396673621e-16, 5.161392999015105e-16, 6.434648076649982e-16, 5.26639929844303e-16, 6.394108256211752e-16, 6.964409313846174e-16, 3.657560255240487e-16, 5.388550614304995e-16, 6.477834977367581e-16, 4.922226235080325e-16, 5.468888381491647e-16, 4.2695048101538944e-16, 2.623096851097421e-16, 5.556420461806474e-16, 4.993099323280742e-16, 3.927783629102198e-16, 4.977875600884293e-16, 5.680583285445062e-16, 7.764121109090113e-16, 4.752655289288103e-16, 3.8181825303085816e-16, 3.126726108181305e-16, 7.702041947628819e-16, 7.039913488218113e-16, 4.880645219758819e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
